item_name,category,store,brand,price,description
apple,grocery,Costco,Costco Apple Brand,14.3,"Brand Name: Harvest Fresh

Product Description:
Indulge in the crisp sweetness of premium apples from Harvest Fresh. Grown in lush orchards with care and expertise, these apples are handpicked at the peak of freshness to deliver unparalleled flavor and quality. Each bite offers a juicy burst of natural goodness, making them perfect for snacking, baking, or adding to your favorite salads. Whether you enjoy them as a healthy snack or incorporate them into your culinary creations, these apples are sure to satisfy your"
apple,grocery,Costco,Costco Apple Brand,17.43,"Product Description:
Indulge in the crisp and juicy sweetness of premium apples from our exclusive supplier at Costco. These hand-picked apples are sustainably grown and carefully selected to ensure top-notch quality and freshness. Whether you enjoy them as a healthy snack, in a delicious pie, or as a refreshing addition to your salads, these apples are sure to delight your taste buds.

Brand Name:
Harvest Bliss Apples

Price:
$9.99 for a 5 lb bag"
apple,grocery,Costco,Costco Apple Brand,13.06,"Brand Name: Farm Fresh Harvest

Product Description:
Indulge in the crisp sweetness of nature's finest with our Farm Fresh Harvest apples. Sourced from premium orchards known for their superior quality, these apples are handpicked at the peak of freshness to ensure a delightful crunch with every bite. Whether enjoyed as a standalone snack or incorporated into your favorite recipe, these apples are versatile and packed with essential nutrients. Perfect for lunchboxes, salads, desserts, or simply as a healthy snack, our Farm"
apple,dairy,Costco,Costco Apple Brand,7.69,"Brand Name: Fresh Harvest Creamery

Product Description:
Indulge in the rich and creamy goodness of Fresh Harvest Creamery's Apple Dairy Delight. This delightful treat seamlessly combines the sweetness of ripe apples with the smoothness of fresh dairy to create a truly unforgettable experience for your taste buds. Each spoonful is bursting with natural apple flavor and the wholesome goodness of dairy, making it a perfect snack or dessert option for any time of the day. Made with high-quality ingredients and crafted with expertise,"
apple,grocery,Costco,Costco Apple Brand,7.25,"Brand Name: Crispy Orchard

Product Description:
Indulge in the fresh and delicious taste of premium apples with Crispy Orchard apples from Costco. Grown in the finest orchards, these apples are hand-picked at the peak of ripeness to ensure maximum flavor and juiciness. Each apple is carefully selected to meet the highest quality standards, providing you with a crisp and satisfying snacking experience every time. Whether enjoyed on its own, sliced up for a refreshing salad, or"
apple,meat,Costco,Costco Apple Brand,13.82,"Brand Name: Orchard Fresh

Product Description: Indulge in the unique and savory flavor of Orchard Fresh apple-infused meat, exclusively available at Costco. Our premium cuts of meat are skillfully marinated and infused with the natural sweetness of fresh apples, creating a tantalizing blend of sweet and savory notes with every bite. Whether you're grilling, roasting, or searing, Orchard Fresh apple-infused meat is sure to elevate your culinary creations and impress your family and guests. Perfect for"
apple,produce,Costco,Costco Apple Brand,16.74,"Brand Name: Fresh Harvest Organics

Product Description:
Indulge in the crisp, sweet, and juicy goodness of Fresh Harvest Organics apples, now available at Costco. Grown with care and expertise, these premium apples are hand-picked at the peak of ripeness to ensure maximum flavor and freshness. With a vibrant red skin and a deliciously crunchy texture, these apples are perfect for snacking, baking, or adding to salads. Packed with essential vitamins and nutrients, they are a"
apple,grocery,Costco,Costco Apple Brand,15.41,"Product Description:
Indulge in the crisp and refreshing taste of premium apples from our exclusive Costco brand. Grown in the finest orchards, these apples are handpicked at the peak of ripeness to ensure superior quality and flavor. Whether you enjoy them on their own as a healthy snack or use them in your favorite recipes, our apples are sure to please your taste buds. Packed with essential nutrients and vitamins, these apples make a delicious and nutritious addition to your daily diet.

Brand Name:"
apple,produce,Costco,Costco Apple Brand,15.28,"Product Description:
Experience the juicy and crisp taste of premium apples with our selection at Costco. Our apples are hand-picked at the peak of freshness to ensure maximum flavor and quality. Perfect for snacking, baking, or adding to salads, these apples are a versatile and nutritious choice for any occasion. Packed with essential vitamins and dietary fiber, our apples make a healthy addition to your daily diet. Whether you prefer Gala, Fuji, Honeycrisp, or Granny Smith varieties, you can trust Costco"
apple,grocery,Costco,Costco Apple Brand,13.3,"Product Description:
Indulge in the crisp and juicy sweetness of fresh apples with our premium quality apples at Costco. Grown and hand-picked to perfection, these apples are bursting with flavor and freshness. Whether you enjoy them as a healthy snack, in salads, or for baking delicious pies, our apples are versatile and delicious in every way. Packed with essential nutrients and vitamins, these apples are a must-have in your kitchen for a healthy and balanced diet.

Brand Name:
Costco Fresh Harvest"
apple,meat,Costco,Costco Apple Brand,2.99,"Introducing ""Fruit & Meat Fusion"" by Harvest Delights, a unique and innovative product available at Costco. 

Brand Name: Harvest Delights
Product: Fruit & Meat Fusion - Apple Flavor
Description: Indulge in the perfect blend of savory and sweet with Harvest Delights' Apple in the Meat category. This premium product features succulent slices of high-quality meat infused with the natural sweetness of ripe apples. Each bite offers a harmonious combination of flavors that will tantalize your taste"
apple,dairy,Costco,Costco Apple Brand,13.94,"Brand Name: Farm Fresh Delights

Product Description:
Indulge in the delicious and creamy Farm Fresh Delights apple-flavored yogurt, a delightful blend of fresh yogurt and natural apple puree. Made with high-quality ingredients, this yogurt is packed with the sweet and tangy flavor of ripe apples, creating a perfect balance of sweetness and freshness in every spoonful. Enjoy it as a nutritious snack, a light breakfast, or a tasty dessert option. With its smooth texture and rich flavor, Farm"
apple,bakery,Costco,Costco Apple Brand,7.23,"Brand Name: FreshBake Delights

Product Description: Indulge in the heavenly flavors of our freshly baked apple pastries from FreshBake Delights. Made with premium quality apples, our pastries are a delightful blend of sweet and tart flavors, encased in a flaky, buttery pastry crust. Each bite is a symphony of textures and tastes, perfect for satisfying your dessert cravings or enjoying with a cup of coffee or tea. Whether you're hosting a gathering or simply treating"
apple,dairy,Costco,Costco Apple Brand,10.97,"Brand Name: Fresh Orchard Dairy Delights

Product Description:
Indulge in the creamy and delicious Apple Flavored Yogurt from Fresh Orchard Dairy Delights. Made with the finest quality ingredients, this yogurt is a perfect balance of sweet and tangy flavors. Each spoonful is packed with the natural goodness of real apples, offering a refreshing and satisfying taste experience. Whether enjoyed as a quick snack or added to your favorite recipes, this Apple Flavored Yogurt is sure to delight your taste buds."
apple,grocery,Costco,Costco Apple Brand,15.32,"Brand Name: Nature's Harvest

Product Description:
Indulge in the crisp sweetness of fresh apples with Nature's Harvest apples from Costco. Grown in orchards teeming with natural goodness, these juicy apples are hand-picked at the peak of ripeness to ensure maximum flavor and freshness. Whether enjoyed on its own as a nutritious snack or incorporated into your favorite recipes, Nature's Harvest apples are a versatile and delicious addition to your grocery list. Perfect for making apple pies, salads, or simply"
